"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
21	-1.496034936371155e-02	1.221680534065304e-02	3.578112296551410e-01	2.949965795749679e-01	3.371029035823758e-01	2.511933804252682e-06	3.578112296551410e-01	0.000000000000000e+00	7.156224593102820e-01	1.735575872632680e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.580646805253017e-07	
22	-1.863119448256913e-02	1.951998076440391e-02	3.280691678075243e-01	3.608185906608368e-01	3.570158240998174e-01	2.513951727491219e-06	3.280691678075243e-01	0.000000000000000e+00	6.561383356150486e-01	1.966650158547803e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.585873805725396e-07	
23	-2.291509609436014e-02	2.872033151219808e-02	2.933724354993555e-01	4.315534731116074e-01	3.710097134301850e-01	2.514994259708430e-06	2.933724354993555e-01	0.000000000000000e+00	5.867448709987111e-01	2.204998178576649e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.588769692450320e-07	
24	-2.787664760519216e-02	4.029798136673557e-02	2.544129989699638e-01	5.051313080570426e-01	3.779862891896932e-01	2.515416294383471e-06	2.544129989699638e-01	0.000000000000000e+00	5.088259979399277e-01	2.444389095142696e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.590138800031704e-07	
25	-3.359483690537503e-02	5.485085770628331e-02	2.122373877740261e-01	5.793120863414820e-01	3.774181038113926e-01	2.515374776112800e-06	2.122373877740261e-01	0.000000000000000e+00	4.244747755480523e-01	2.678841394515209e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.590339328242071e-07	
26	-4.017106857496495e-02	7.312404681877212e-02	1.682220347590826e-01	6.518419862215530e-01	3.693643491738204e-01	2.515260217734864e-06	1.682220347590826e-01	0.000000000000000e+00	3.364440695181652e-01	2.902819900468555e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.590344660208742e-07	
27	-4.774127854858416e-02	9.604506304552754e-02	1.238690052696665e-01	7.205721358726664e-01	3.542682188832552e-01	2.515451745804361e-06	1.238690052696665e-01	0.000000000000000e+00	2.477380105393329e-01	3.111005204840080e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.591084217827848e-07	
28	-5.649774676774142e-02	1.247675164722625e-01	8.069913997856987e-02	7.839282054546054e-01	3.331590134590152e-01	2.515558936086327e-06	8.069913997856987e-02	0.000000000000000e+00	1.613982799571397e-01	3.300212683480207e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.591632017511791e-07	
29	-6.672783777060264e-02	1.607350929897540e-01	4.011480945906132e-02	8.408971403352938e-01	3.072950002348850e-01	2.515607058781426e-06	4.011480945906132e-02	0.000000000000000e+00	8.022961891812264e-02	3.468756841074350e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.592054633474112e-07	
30	-7.889486640871081e-02	2.057868173216930e-01	3.289344102868630e-03	8.909540636616492e-01	2.778896590262412e-01	2.515883725353723e-06	3.289344102868630e-03	0.000000000000000e+00	6.578688205737260e-03	3.615981947014596e-02	8.692878219953745e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.593001413843208e-07	
